id,name,provider,type,fee,return_1yr,return_5yr,risk_band,risk_lo,risk_hi,horizon_lo,horizon_hi,ethical,has_history,history_since
279,Life Cycle - Age 65,NZ Funds KiwiSaver Scheme,Growth,1.67,6.09,-0.69,4–5,4,5,6,12,False,True,2022
280,Life Cycle - Age 75,NZ Funds KiwiSaver Scheme,Balanced,1.6,5.55,-0.56,3–4,3,4,4,9,False,True,2022
281,Lifestages Auto Option Age 0 - 49,SBS Wealth KiwiSaver Scheme,Aggressive,1.17,11.77,7.28,5–7,5,7,10,40,False,False,
282,Lifestages Auto Option Age 50 - 54,SBS Wealth KiwiSaver Scheme,Growth,1.11,9.62,5.9,4–5,4,5,6,12,False,False,
283,Lifestages Auto Option Age 55 - 59,SBS Wealth KiwiSaver Scheme,Balanced,1.05,7.52,4.51,3–4,3,4,4,9,False,False,
284,Lifestages Auto Option Age 60 - 64,SBS Wealth KiwiSaver Scheme,Balanced,0.99,5.58,3.14,3–4,3,4,4,9,False,False,
285,Lifestages Auto Option Age 65+,SBS Wealth KiwiSaver Scheme,Conservative,0.96,4.61,2.42,2–3,2,3,1,4,False,False,
286,Milford Active Growth Fund,AMP KiwiSaver Scheme,Growth,1.57,7.23,,4–5,4,5,6,12,False,True,2021
287,Milford Aggressive Fund,AMP KiwiSaver Scheme,Aggressive,1.57,5.98,,5–7,5,7,10,40,False,True,2021
288,Milford Balanced Fund,AMP KiwiSaver Scheme,Balanced,1.43,4.19,,3–4,3,4,4,9,False,True,2021
289,Milford Conservative Fund,AMP KiwiSaver Scheme,Conservative,1.33,1.6,,2–3,2,3,1,4,False,True,2021
290,Milford KiwiSaver Active Growth Fund,Milford KiwiSaver Plan,Growth,1.05,7.64,6.82,4–5,4,5,6,12,False,True,2016
291,Milford KiwiSaver Aggressive Fund,Milford KiwiSaver Plan,Aggressive,1.15,6.13,6.37,5–7,5,7,10,40,False,True,2019
292,Milford KiwiSaver Balanced Fund,Milford KiwiSaver Plan,Balanced,1.05,4.58,4.88,3–4,3,4,4,9,False,True,2016
293,Milford KiwiSaver Cash Fund,Milford KiwiSaver Plan,Defensive,0.2,2.19,2.55,1–2,1,2,0,3,False,True,2020
294,Milford KiwiSaver Conservative Fund,Milford KiwiSaver Plan,Conservative,0.85,1.89,2.57,2–3,2,3,1,4,False,True,2016
295,Milford KiwiSaver Moderate Fund,Milford KiwiSaver Plan,Balanced,0.95,3.23,3.63,3–4,3,4,4,9,False,True,2020
296,Moderate Fund,Westpac KiwiSaver Scheme,Balanced,0.4,6.45,3.14,3–4,3,4,4,9,False,True,2014
297,Moderate Fund,Generate KiwiSaver Scheme,Balanced,1.26,4.74,3.54,3–4,3,4,4,9,False,False,
298,Moderate Fund,ASB KiwiSaver Scheme,Balanced,0.6,7.05,3.55,3–4,3,4,4,9,False,True,2013
299,Moderate Fund,Booster KiwiSaver Scheme,Conservative,1.2,4.14,2.24,2–3,2,3,1,4,False,True,2016
300,Moderate Fund,New Zealand Defence Force KiwiSaver Scheme,Balanced,0.73,5.98,3.01,3–4,3,4,4,9,False,True,2015
301,Moderate Fund,MAS KiwiSaver Scheme,Balanced,0.94,5.94,3.07,3–4,3,4,4,9,False,True,2021
302,New Zealand Equities Fund,Koura KiwiSaver Scheme,Aggressive,0.73,3.08,-0.36,5–7,5,7,10,40,True,True,2019
303,New Zealand Fixed Interest Fund,Oneanswer KiwiSaver Scheme,Defensive,0.34,2.48,0.72,1–2,1,2,0,3,False,True,2013
304,NZ Bonds Fund,Superlife KiwiSaver Scheme,Defensive,0.64,2.59,1.45,1–2,1,2,0,3,False,True,2016
305,NZ Cash Fund,Superlife KiwiSaver Scheme,Defensive,0.62,2.02,2.4,1–2,1,2,0,3,False,True,2016
306,NZ Cash Fund,ASB KiwiSaver Scheme,Defensive,0.35,2.05,2.44,1–2,1,2,0,3,False,True,2013
307,NZ Dividend Fund,Superlife KiwiSaver Scheme,Aggressive,0.69,19.37,3.0,5–7,5,7,10,40,False,True,2019
308,NZ Mid Cap Fund,Superlife KiwiSaver Scheme,Aggressive,0.69,6.62,0.4,5–7,5,7,10,40,False,True,2019
309,NZ Property Fund,Koura KiwiSaver Scheme,Aggressive,1.2,-1.65,,5–7,5,7,10,40,True,False,
310,NZ Property Fund,Superlife KiwiSaver Scheme,Aggressive,0.69,6.95,-3.29,5–7,5,7,10,40,False,True,2019
311,NZ Shares Fund,Superlife KiwiSaver Scheme,Aggressive,0.69,4.1,-0.46,5–7,5,7,10,40,False,True,2016
312,NZ Top 10 Fund,Superlife KiwiSaver Scheme,Aggressive,0.69,4.08,-0.33,5–7,5,7,10,40,False,True,2019
313,NZ Top 50 Fund,Superlife KiwiSaver Scheme,Aggressive,0.69,4.06,-0.48,5–7,5,7,10,40,False,True,2019
314,Overseas Bonds Fund,Superlife KiwiSaver Scheme,Defensive,0.69,0.27,-0.05,1–2,1,2,0,3,False,True,2016
315,Overseas Non-government Bonds Fund,Superlife KiwiSaver Scheme,Defensive,0.64,1.47,-0.12,1–2,1,2,0,3,False,True,2016
316,Overseas Shares (currency Hedged) Fund,Superlife KiwiSaver Scheme,Aggressive,0.68,12.74,8.62,5–7,5,7,10,40,False,True,2016
317,Overseas Shares Fund,Superlife KiwiSaver Scheme,Aggressive,0.68,14.12,11.53,5–7,5,7,10,40,False,True,2016
318,Pathfinder KiwiSaver Balanced Fund,Pathfinder KiwiSaver Plan,Balanced,1.25,6.72,4.79,3–4,3,4,4,9,False,True,2021
319,Pathfinder KiwiSaver Conservative Fund,Pathfinder KiwiSaver Plan,Conservative,1.01,2.63,2.7,2–3,2,3,1,4,False,True,2021
320,Pathfinder KiwiSaver Growth Fund,Pathfinder KiwiSaver Plan,Growth,1.37,8.87,5.56,4–5,4,5,6,12,False,True,2021
321,Pathfinder KiwiSaver High Growth Fund,Pathfinder KiwiSaver Plan,Growth,1.36,,,4–5,4,5,6,12,False,False,
322,PIE KiwiSaver Aggressive Fund,PIE KiwiSaver Scheme,Growth,1.19,,,4–5,4,5,6,12,False,False,
323,PIE KiwiSaver Balanced Fund,PIE KiwiSaver Scheme,Balanced,0.69,12.9,2.12,3–4,3,4,4,9,False,False,
324,PIE KiwiSaver Conservative Fund,PIE KiwiSaver Scheme,Conservative,0.69,7.09,1.77,2–3,2,3,1,4,False,False,
325,PIE KiwiSaver Growth Fund,PIE KiwiSaver Scheme,Growth,0.68,16.15,1.64,4–5,4,5,6,12,False,False,
326,Preservation Fund,Fisher Funds Two KiwiSaver Scheme,Defensive,0.61,2.24,2.28,1–2,1,2,0,3,False,True,2013
327,Quaystreet Altum Fund,Quaystreet KiwiSaver Scheme,Growth,1.37,17.29,7.14,4–5,4,5,6,12,False,True,2016
328,Quaystreet Australian Equity Fund,Quaystreet KiwiSaver Scheme,Aggressive,1.37,9.55,7.14,5–7,5,7,10,40,False,True,2016
329,Quaystreet Balanced Fund,Quaystreet KiwiSaver Scheme,Balanced,1.12,9.47,7.23,3–4,3,4,4,9,False,True,2016
330,Quaystreet Conservative Fund,Quaystreet KiwiSaver Scheme,Conservative,0.86,4.47,3.36,2–3,2,3,1,4,False,True,2016
331,Quaystreet Fixed Interest Fund,Quaystreet KiwiSaver Scheme,Defensive,0.86,2.56,1.85,1–2,1,2,0,3,False,True,2016
332,Quaystreet Growth Fund,Quaystreet KiwiSaver Scheme,Growth,1.37,11.89,8.95,4–5,4,5,6,12,False,True,2016
333,Quaystreet High Growth Fund,Quaystreet KiwiSaver Scheme,Aggressive,1.41,14.75,,5–7,5,7,10,40,False,False,
334,Quaystreet Income Fund,Quaystreet KiwiSaver Scheme,Defensive,0.87,3.84,2.9,1–2,1,2,0,3,False,True,2016
335,Quaystreet International Equity (nzd Hedged) Fund,Quaystreet KiwiSaver Scheme,Aggressive,1.25,15.57,,5–7,5,7,10,40,False,False,
336,Quaystreet International Equity Fund,Quaystreet KiwiSaver Scheme,Aggressive,1.27,16.73,13.72,5–7,5,7,10,40,False,True,2016
337,Quaystreet New Zealand Equity Fund,Quaystreet KiwiSaver Scheme,Aggressive,1.37,3.95,0.71,5–7,5,7,10,40,False,True,2016
338,Quaystreet Socially Responsible Investment Fund,Quaystreet KiwiSaver Scheme,Balanced,1.12,7.3,6.76,3–4,3,4,4,9,True,True,2018
339,Responsible Balanced Fund,Mercer KiwiSaver Scheme,Balanced,0.75,7.1,4.01,3–4,3,4,4,9,False,False,
340,Responsible Conservative Fund,Mercer KiwiSaver Scheme,Conservative,0.49,3.77,2.18,2–3,2,3,1,4,False,False,
341,Responsible Growth Fund,Mercer KiwiSaver Scheme,Growth,0.84,8.62,5.06,4–5,4,5,6,12,False,False,
342,Responsible High Growth Fund,Mercer KiwiSaver Scheme,Aggressive,0.89,10.1,5.89,5–7,5,7,10,40,False,False,
343,Responsible Moderate Fund,Mercer KiwiSaver Scheme,Balanced,0.66,5.16,3.03,3–4,3,4,4,9,False,False,
344,Responsible Shares Fund,Mercer KiwiSaver Scheme,Aggressive,0.95,10.94,5.77,5–7,5,7,10,40,False,False,
345,Rest of World Equities Fund,Koura KiwiSaver Scheme,Aggressive,0.73,13.7,7.97,5–7,5,7,10,40,True,True,2019
346,S&p/asx 200 Fund,Superlife KiwiSaver Scheme,Aggressive,0.69,19.2,8.77,5–7,5,7,10,40,False,True,2020
347,S&p/nzx 50 Fund,Superlife KiwiSaver Scheme,Aggressive,0.69,4.29,-0.22,5–7,5,7,10,40,False,True,2020
348,S&p/nzx NZ Government Bond Fund,Superlife KiwiSaver Scheme,Defensive,0.64,1.94,-0.14,1–2,1,2,0,3,False,True,2020
349,SBS Wealth Cash Fund,SBS Wealth KiwiSaver Scheme,Defensive,0.45,,,1–2,1,2,0,3,False,False,
350,SBS Wealth Focused Growth Fund,SBS Wealth KiwiSaver Scheme,Aggressive,1.2,,,5–7,5,7,10,40,False,False,
351,SBS Wealth High Growth Fund,SBS Wealth KiwiSaver Scheme,Aggressive,1.17,11.67,7.39,5–7,5,7,10,40,False,False,
352,SBS Wealth Income Fund,SBS Wealth KiwiSaver Scheme,Defensive,0.87,1.39,0.34,1–2,1,2,0,3,False,False,
353,Select International Share Fund,Oneanswer KiwiSaver Scheme,Aggressive,0.9,13.32,12.41,5–7,5,7,10,40,False,False,
354,Shares Fund,New Zealand Defence Force KiwiSaver Scheme,Aggressive,0.96,13.08,6.53,5–7,5,7,10,40,False,True,2015
355,Sharesies Fisher Funds Growth Fund,Sharesies KiwiSaver Scheme,Growth,1.2,,,4–5,4,5,6,12,False,False,
356,Sharesies Generate Focused Growth Fund,Sharesies KiwiSaver Scheme,Aggressive,1.31,,,5–7,5,7,10,40,False,False,
357,Sharesies Milford Aggressive Fund,Sharesies KiwiSaver Scheme,Aggressive,1.15,6.25,,5–7,5,7,10,40,False,False,
358,Sharesies Milford Balanced Fund,Sharesies KiwiSaver Scheme,,1.07,,,,,,,,False,False,
359,Sharesies Pathfinder Ethical Growth Fund,Sharesies KiwiSaver Scheme,Growth,1.35,8.87,,4–5,4,5,6,12,True,False,
360,Sharesies PIE Global Growth 2 Fund,Sharesies KiwiSaver Scheme,Aggressive,1.49,20.83,,5–7,5,7,10,40,False,False,
361,Sharesies Smartshares Conservative Fund,Sharesies KiwiSaver Scheme,Conservative,0.47,5.05,,2–3,2,3,1,4,False,False,
362,Sharesies Smartshares Growth Fund,Sharesies KiwiSaver Scheme,Growth,0.51,10.23,,4–5,4,5,6,12,False,False,
363,Sharesies Total World Share Fund,Sharesies KiwiSaver Scheme,,0.12,,,,,,,,False,False,
364,Sharesies Us500 Fund,Sharesies KiwiSaver Scheme,Aggressive,0.09,15.85,,5–7,5,7,10,40,False,False,
365,Shielded Growth Fund,Booster KiwiSaver Scheme,Aggressive,1.41,8.84,5.13,5–7,5,7,10,40,False,True,2018
366,Socially Responsible Balanced Fund,Booster KiwiSaver Scheme,Balanced,1.33,5.69,4.0,3–4,3,4,4,9,True,True,2021
367,Socially Responsible Geared Growth Fund,Booster KiwiSaver Scheme,Aggressive,1.46,9.87,,5–7,5,7,10,40,True,False,
368,Socially Responsible Growth Fund,Booster KiwiSaver Scheme,Growth,1.34,7.12,,4–5,4,5,6,12,True,False,
369,Socially Responsible High Growth Fund,Booster KiwiSaver Scheme,Aggressive,1.35,8.74,6.76,5–7,5,7,10,40,True,True,2021
370,Socially Responsible Moderate Fund,Booster KiwiSaver Scheme,Conservative,1.21,4.02,2.34,2–3,2,3,1,4,True,True,2021
371,Stepping Stones 0-35,Generate KiwiSaver Scheme,Aggressive,1.39,8.77,6.72,5–7,5,7,10,40,False,True,2017
372,Stepping Stones 36-45,Generate KiwiSaver Scheme,Growth,1.37,7.18,5.54,4–5,4,5,6,12,False,True,2019
373,Stepping Stones 46-55,Generate KiwiSaver Scheme,Balanced,1.36,6.23,4.32,3–4,3,4,4,9,False,True,2019
374,Stepping Stones 56-60,Generate KiwiSaver Scheme,Balanced,1.31,5.49,4.0,3–4,3,4,4,9,False,True,2017
375,Stepping Stones 61-64,Generate KiwiSaver Scheme,Balanced,1.26,4.74,3.5,3–4,3,4,4,9,False,True,2019
376,Stepping Stones 65-75,Generate KiwiSaver Scheme,Conservative,1.23,4.0,,2–3,2,3,1,4,False,False,
377,Stepping Stones 76+,Generate KiwiSaver Scheme,Conservative,1.2,3.26,,2–3,2,3,1,4,False,False,
378,Stepping Stones Growth 0-50,Generate KiwiSaver Scheme,Aggressive,1.39,8.77,7.01,5–7,5,7,10,40,False,True,2020
379,Stepping Stones Growth 51-55,Generate KiwiSaver Scheme,Growth,1.37,7.18,5.54,4–5,4,5,6,12,False,True,2020
380,Stepping Stones Growth 56-60,Generate KiwiSaver Scheme,Balanced,1.36,6.23,4.32,3–4,3,4,4,9,False,True,2020
381,Stepping Stones Growth 61-75,Generate KiwiSaver Scheme,Balanced,1.26,4.74,,3–4,3,4,4,9,False,False,
382,Stepping Stones Growth 76+,Generate KiwiSaver Scheme,Conservative,1.2,3.26,,2–3,2,3,1,4,False,False,
383,Strategic High Growth Fund,Koura KiwiSaver Scheme,Aggressive,1.2,13.67,,5–7,5,7,10,40,True,False,
384,Summer Australian Equities,Summer KiwiSaver Scheme,Aggressive,1.02,12.19,8.01,5–7,5,7,10,40,False,True,2016
385,Summer Balanced Selection,Summer KiwiSaver Scheme,Balanced,1.02,6.57,3.36,3–4,3,4,4,9,False,True,2019
386,Summer Conservative Selection,Summer KiwiSaver Scheme,Conservative,0.87,4.37,2.17,2–3,2,3,1,4,False,True,2019
387,Summer Global Equities,Summer KiwiSaver Scheme,Aggressive,1.02,12.15,6.87,5–7,5,7,10,40,False,True,2016
388,Summer Global Fixed Interest,Summer KiwiSaver Scheme,Defensive,0.87,2.91,0.2,1–2,1,2,0,3,False,True,2016
389,Summer Growth Selection,Summer KiwiSaver Scheme,Growth,1.02,8.71,4.51,4–5,4,5,6,12,False,True,2019
390,Summer Listed Property,Summer KiwiSaver Scheme,Aggressive,1.02,5.65,-2.69,5–7,5,7,10,40,False,True,2016
391,Summer New Zealand Cash,Summer KiwiSaver Scheme,Defensive,0.62,2.19,2.41,1–2,1,2,0,3,False,True,2016
392,Summer New Zealand Equities,Summer KiwiSaver Scheme,Aggressive,1.02,5.46,1.46,5–7,5,7,10,40,False,True,2016
393,Summer New Zealand Fixed Interest,Summer KiwiSaver Scheme,Defensive,0.87,2.58,1.24,1–2,1,2,0,3,False,True,2016
394,Superlife Age Steps - Age 20,Superlife KiwiSaver Scheme,Aggressive,0.73,12.09,6.42,5–7,5,7,10,40,False,True,2016
395,Superlife Age Steps - Age 30,Superlife KiwiSaver Scheme,Growth,0.72,10.29,5.43,4–5,4,5,6,12,False,True,2016
396,Superlife Age Steps - Age 40,Superlife KiwiSaver Scheme,Growth,0.72,10.29,5.43,4–5,4,5,6,12,False,True,2016
397,Superlife Age Steps - Age 50,Superlife KiwiSaver Scheme,Growth,0.71,9.73,5.12,4–5,4,5,6,12,False,True,2016
398,Superlife Age Steps - Age 60,Superlife KiwiSaver Scheme,Balanced,0.7,7.82,4.03,3–4,3,4,4,9,False,True,2016
399,Superlife Age Steps - Age 70,Superlife KiwiSaver Scheme,Balanced,0.68,5.81,2.89,3–4,3,4,4,9,False,True,2016
400,Superlife Age Steps - Age 80,Superlife KiwiSaver Scheme,Defensive,0.66,2.49,0.95,1–2,1,2,0,3,False,True,2016
401,Superlife Balanced Fund,Superlife KiwiSaver Scheme,Balanced,0.7,8.2,4.28,3–4,3,4,4,9,False,True,2020
402,Superlife Conservative Fund,Superlife KiwiSaver Scheme,Conservative,0.67,4.94,2.54,2–3,2,3,1,4,False,True,2020
403,Superlife Default Fund,Superlife KiwiSaver Scheme,Balanced,0.3,7.14,,3–4,3,4,4,9,False,True,2021
404,Superlife Growth Fund,Superlife KiwiSaver Scheme,Growth,0.71,10.1,5.5,4–5,4,5,6,12,False,True,2020
405,Superlife High Growth Fund,Superlife KiwiSaver Scheme,Aggressive,0.73,12.54,6.67,5–7,5,7,10,40,False,True,2020
406,Superlife Income Fund,Superlife KiwiSaver Scheme,Defensive,0.66,1.39,0.34,1–2,1,2,0,3,False,True,2020
407,Sharesies Smartshares Balanced Fund,Sharesies KiwiSaver Scheme,Balanced,0.5,8.31,,3–4,3,4,4,9,False,False,
408,Thematic Fund,Generate KiwiSaver Scheme,Aggressive,1.3,,,5–7,5,7,10,40,False,False,
409,Total World (nzd Hedged) Fund,Superlife KiwiSaver Scheme,Aggressive,0.68,12.35,7.63,5–7,5,7,10,40,False,True,2020
410,Total World Fund,Superlife KiwiSaver Scheme,Aggressive,0.68,16.0,11.14,5–7,5,7,10,40,False,True,2019
411,UK Cash Fund,Superlife KiwiSaver Scheme,Defensive,0.59,2.41,3.49,1–2,1,2,0,3,False,True,2016
412,US 500 Fund,Superlife KiwiSaver Scheme,Aggressive,0.64,15.28,14.12,5–7,5,7,10,40,False,True,2019
413,US Equities Fund,Koura KiwiSaver Scheme,Aggressive,0.73,13.4,11.59,5–7,5,7,10,40,True,True,2020
414,US Large Growth Fund,Superlife KiwiSaver Scheme,Aggressive,0.67,13.54,13.58,5–7,5,7,10,40,False,True,2019
415,US Large Value Fund,Superlife KiwiSaver Scheme,Aggressive,0.67,15.94,13.08,5–7,5,7,10,40,False,True,2019
416,US Mid Cap Fund,Superlife KiwiSaver Scheme,Aggressive,0.67,11.5,9.09,5–7,5,7,10,40,False,True,2019
417,US Small Cap Fund,Superlife KiwiSaver Scheme,Aggressive,0.67,16.57,7.59,5–7,5,7,10,40,False,True,2019
