Fund Name,Provider,Risk Indicator,Periods,Avg Return %,Volatility (std),Return/Vol Ratio
AMP CONSERVATIVE FUND (LIFESTEPS),0.87,,9,3.7,2.65,1.4
BNZ KIWISAVER GROWTH FUND,1.04,,3,9.6,2.65,3.62
AMP DEFENSIVE CONSERVATIVE FUND,0.35,,2,0.29,2.64,0.11
TOTAL WORLD FUND,0.59,,2,5.4,2.64,2.05
INVESTNOW CASTLE POINT 5 OCEANS FUND,1.09,,2,5.56,2.62,2.12
CONSERVATIVE FUND,0.86,,4,5.09,2.61,1.95
AMP CAPITAL INCOME GENERATOR FUND,0.98,,3,5.61,2.6,2.16
QUAYSTREET CONSERVATIVE FUND,0.71,,2,-1.89,2.59,-0.73
SELECT CONSERVATIVE,AMP WEALTH MANAGEMENT NEW ZEALAND LIMITED,3,2,5.07,2.56,1.98
RUSSELL LIFEPOINTS® TARGET DATE 2035 FUND,0.76,,2,7.72,2.56,3.02
BALANCED FUND,0.88,,3,6.94,2.54,2.73
RUSSELL LIFEPOINTS® BALANCED FUND,0.74,,2,7.74,2.54,3.05
UK CASH FUND,0.48,,6,-1.23,2.52,-0.49
SUMMER CONSERVATIVE SELECTION,0.7,,3,0.46,2.47,0.19
QUAYSTREET INCOME FUND,0.63,,3,3.62,2.47,1.47
ANZ CONSERVATIVE FUND,0.98,,11,3.04,2.45,1.24
ANZ BALANCED FUND,0.67,,2,5.5,2.4,2.29
OVERSEAS NON-GOVERNMENT BONDS FUND,0.34,,5,3.9,2.37,1.65
FISHER BALANCED FUND,1.12,,2,7.77,2.37,3.28
AMP MODERATE FUND,0.93,,3,3.68,2.36,1.56
ANZ CONSERVATIVE FUND,0.97,,7,3.42,2.35,1.46
SUPERLIFE 30,0.36,,4,2.77,2.33,1.19
DEFENSIVE CONSERVATIVE FUND,0.3,,3,0.78,2.32,0.34
SELECT INCOME,AMP WEALTH MANAGEMENT NEW ZEALAND LIMITED,3,2,-2.15,2.31,-0.93
STEPPING STONES 61-64 AND STEPPING STONES GROWTH 61-64,1.00,,5,6.31,2.29,2.76
DEFAULT FUND,0.37,,4,4.78,2.28,2.1
JUNO CONSERVATIVE FUND,0.67,,2,-7.65,2.28,-3.36
CONSERVATIVE FUND,0.45,,13,3.28,2.26,1.45
CONSERVATIVE FUND,0.84,,13,4.68,2.26,2.07
CONSERVATIVE FUND,1,,7,3.53,2.24,1.58
CONSERVATIVE FUND,0.30,,8,4.58,2.24,2.04
LIFESTAGES AUTO OPTION AGE 65+,0.61,,3,1.35,2.23,0.61
BNZ KIWISAVER BALANCED FUND,0.95,,5,8.47,2.23,3.8
NIKKO AM CONSERVATIVE FUND,0.97,,4,4.25,2.22,1.91
INVESTNOW NZ SHARES INDEX FUND,0.28,,2,-2.51,2.21,-1.14
CASH ENHANCED FUND,0.54,,4,5.38,2.21,2.43
AMP INTERNATIONAL FIXED INTEREST FUND,0.82,,7,2.09,2.18,0.96
BNZ KIWISAVER CONSERVATIVE FUND,0.58,,6,3.26,2.17,1.5
QUAYSTREET FIXED INTEREST FUND,0.63,,3,0.57,2.15,0.27
MODERATE FUND,0.94,,7,4.48,2.15,2.08
RUSSELL LIFEPOINTS® MODERATE FUND,0.67,,2,6.86,2.15,3.19
INVESTNOW SALT NZ DIVIDEND APPRECIATION FUND,0.99,,2,0.54,2.13,0.25
CONSERVATIVE FUND,0.55,,12,4.18,2.13,1.96
LIFESTAGES AUTO OPTION AGE 55+,0.71,,2,5.62,2.11,2.66
MODERATE FUND,1.07,,4,3.6,2.1,1.71
DEFAULT FUND,0.40,,8,3.98,2.09,1.9
GLIDEPATH AGE 75,0.81,,13,4.42,2.07,2.14
OPTIONS FUND,1.02,,2,6.54,2.07,3.16
RUSSELL LIFEPOINTS® TARGET DATE 2025 FUND,0.69,,2,6.79,2.06,3.3
GUARANTEED INCOME FUND,0.28,,3,6.47,2.05,3.16
LIFESTAGES INCOME FUND,0.55,,7,-0.07,2.04,-0.03
SUPERLIFE AGE STEPS - AGE 80,0.46,,5,3.13,2.01,1.56
INVESTNOW SALT ENHANCED PROPERTY FUND,0.88,,2,4.2,2.0,2.1
BNZ KIWISAVER CONSERVATIVE FUND,0.5,,3,0.56,2.0,0.28
DEFAULT,0.82,,4,3.44,2.0,1.72
CONSERVATIVE FUND,0.50,,12,3.56,2.0,1.78
RUSSELL LIFEPOINTS® CONSERVATIVE FUND,0.94,,4,2.7,1.98,1.36
RUSSELL LIFEPOINTS® TARGET DATE 2015 FUND,0.95,,4,2.68,1.98,1.35
MERCER CONSERVATIVE FUND,0.50,,12,3.96,1.96,2.02
SUSTAINABLE CONSERVATIVE FUND,0.45,,3,1.76,1.94,0.91
CONSERVATIVE FUND,0.78,,6,2.06,1.94,1.06
DEFAULT,0.74,,3,4.94,1.94,2.55
QUAYSTREET GROWTH FUND,1.18,,4,3.17,1.93,1.64
QUAYSTREET CONSERVATIVE FUND,0.65,,5,3.63,1.92,1.89
QUAYSTREET CONSERVATIVE FUND,0.62,,4,4.06,1.9,2.14
CONSERVATIVE FUND,0.39,,11,4.3,1.88,2.29
AMP NEW ZEALAND FIXED INTEREST FUND,0.73,,8,2.04,1.83,1.11
QUAYSTREET BALANCED FUND,0.92,,4,3.06,1.83,1.67
AMP DEFAULT FUND,0.35,,17,3.6,1.82,1.98
CONSERVATIVE,1.05,,3,5.07,1.82,2.79
QUAYSTREET CONSERVATIVE FUND,0.66,,3,4.28,1.82,2.35
DEFAULT SAVER FUND,0.38,,8,4.52,1.81,2.5
BALANCED FUND,1,,2,10.46,1.76,5.94
CONSERVATIVE,1.06,,4,3.4,1.76,1.93
HIGH GROWTH FUND,BOOSTER INVESTMENT MANAGEMENT LIMITED,5,2,18.72,1.75,10.7
CONSERVATIVE FUND,0.80,,8,4.94,1.75,2.82
CONSERVATIVE FUND,0.40,,8,4.5,1.75,2.57
CARESAVER CONSERVATIVE FUND,0.80,,2,6.28,1.75,3.59
QUAYSTREET GROWTH FUND,1.22,,2,14.87,1.73,8.6
CASH ENHANCED FUND,0.56,,10,4.03,1.73,2.33
GLOBAL BOND ETF FUND,0.35,,5,2.0,1.73,1.16
QUAYSTREET INCOME FUND,0.64,,7,4.58,1.73,2.65
QUAYSTREET SOCIALLY RESPONSIBLE INVESTMENT FUND,0.88,,4,3.16,1.7,1.86
CASHPLUS,0.74,,7,0.91,1.65,0.55
BNZ KIWISAVER MODERATE FUND,0.85,,5,6.85,1.64,4.18
MERCER BALANCED FUND,0.72,,2,4.67,1.63,2.87
MILFORD KIWISAVER CONSERVATIVE FUND,0.91,,4,2.8,1.62,1.73
GLOBAL AGGREGATE BOND FUND,0.58,,3,-3.75,1.59,-2.36
CAPITAL GUARANTEED FUND,0.90,,8,0.57,1.59,0.36
GEMINO FUND,0.85,,2,-24.07,1.58,-15.23
RUSSELL LIFEPOINTS® TARGET DATE 2015 FUND,0.63,,2,5.81,1.58,3.68
LIFESTAGES INCOME FUND,0.65,,7,1.24,1.56,0.79
SUMMER GLOBAL FIXED INTEREST,0.3,,3,-1.54,1.55,-0.99
SUPERLIFE INCOME,0.46,,4,3.79,1.54,2.46
AMP INTERNATIONAL FIXED INTEREST FUND,0.83,,8,1.58,1.54,1.03
MILFORD KIWISAVER CONSERVATIVE FUND,0.89,,3,5.72,1.52,3.76
GEARED GROWTH FUND,1.41,,2,9.24,1.51,6.12
QUAYSTREET INCOME FUND,0.56,,2,4.8,1.51,3.18
RUSSELL LIFEPOINTS® CONSERVATIVE FUND,0.62,,2,5.71,1.49,3.83
SUMMER GLOBAL FIXED INTEREST,0.46,,3,3.82,1.47,2.6
AMPCI GLOBAL FIXED INTEREST,AMP WEALTH MANAGEMENT NEW ZEALAND LIMITED,3,2,-0.43,1.45,-0.3
MILFORD KIWISAVER CONSERVATIVE FUND,0.87,,4,3.91,1.45,2.7
DEFAULT,0.69,,4,3.33,1.45,2.3
OVERSEAS BONDS FUND,0.55,,5,3.8,1.39,2.73
GROWTH FUND,BOOSTER INVESTMENT MANAGEMENT LIMITED,4,2,13.66,1.37,9.97
INVESTNOW ETHICAL LEADERS HEDGED GLOBAL FIXED INTEREST INDEX FUND,0.36,,2,-2.48,1.36,-1.82
GLOBAL BONDS - MULTI MANAGER,AMP WEALTH MANAGEMENT NEW ZEALAND LIMITED,3,2,-0.68,1.34,-0.51
AMP CONSERVATIVE FUND,0.85,,3,3.37,1.33,2.53
MODERATE FUND,1,,2,6.58,1.31,5.02
INVESTNOW RUSSELL INVESTMENTS GLOBAL FIXED INTEREST FUND,0.47,,2,-2.21,1.29,-1.71
QUAYSTREET INTERNATIONAL EQUITY FUND,1.17,,4,4.07,1.27,3.2
BNZ KIWISAVER FIRST HOME BUYER FUND,0.5,,3,0.93,1.23,0.76
BNZ KIWISAVER FIRST HOME BUYER FUND,0.50,,10,2.74,1.22,2.25
QUAYSTREET CONSERVATIVE FUND,0.64,,2,4.12,1.22,3.38
INVESTNOW FOUNDATION SERIES BALANCED FUND,0.35,,2,10.32,1.17,8.82
BNZ KIWISAVER CONSERVATIVE FUND,0.51,,4,3.88,1.16,3.34
BNZ KIWISAVER CONSERVATIVE FUND,0.53,,4,5.15,1.14,4.52
BALANCED FUND,BOOSTER INVESTMENT MANAGEMENT LIMITED,4,2,9.29,1.1,8.45
OVERSEAS NON-GOVERNMENT BONDS FUND,0.35,,4,-0.1,1.08,-0.09
SUMMER GLOBAL FIXED INTEREST,0.58,,4,1.12,1.07,1.05
NZ CORPORATE BOND FUND,0.82,,8,4.24,1.05,4.04
AMP GLOBAL FIXED INTEREST FUND,0.83,,3,-2.34,1.01,-2.32
OVERSEAS BONDS FUND,0.35,,4,1.35,1.01,1.34
SUPERLIFE AGE STEPS - AGE 80,0.35,,4,2.11,1.0,2.11
MODERATE FUND,BOOSTER INVESTMENT MANAGEMENT LIMITED,3,2,5.48,0.93,5.89
QUAYSTREET INCOME FUND,0.65,,2,-0.4,0.93,-0.43
AMP NEW ZEALAND FIXED INTEREST FUND,0.72,,7,3.35,0.92,3.64
INVESTNOW HARBOUR NZ CORE FIXED INTEREST FUND,0.57,,3,-4.14,0.91,-4.55
MILFORD KIWISAVER CONSERVATIVE FUND,0.77,,2,5.57,0.91,6.12
DEFAULT FUND,0.4,,4,4.22,0.9,4.69
CASH FUND,0.3,,7,1.1,0.88,1.25
NZ BONDS FUND,0.49,,5,3.9,0.87,4.48
MILFORD KIWISAVER CASH FUND,0.14,,2,1.07,0.86,1.24
CASH,0.49,,2,1.06,0.85,1.25
SUMMER NEW ZEALAND FIXED INTEREST,0.90,,8,3.14,0.82,3.83
QUAYSTREET FIXED INTEREST FUND,0.61,,2,3.48,0.81,4.3
QUAYSTREET BALANCED SRI FUND,1.05,,2,3.1,0.81,3.83
LIFESTAGES INCOME FUND,0.54,,3,2.89,0.8,3.61
BNZ KIWISAVER FIRST HOME BUYER FUND,0.45,,3,3.96,0.78,5.08
SUPERLIFE INCOME,0.35,,4,1.85,0.73,2.53
QUAYSTREET FIXED INTEREST FUND,0.66,,4,2.8,0.73,3.84
SUMMER NEW ZEALAND FIXED INTEREST,0.75,,4,-3.44,0.72,-4.78
QUAYSTREET INCOME FUND,0.66,,4,0.71,0.72,0.99
ENHANCED CASH FUND,0.65,,2,0.69,0.72,0.96
PRESERVATION FUND,0.48,,18,1.07,0.71,1.51
SUMMER GLOBAL FIXED INTEREST,0.63,,2,2.4,0.71,3.38
NZ MID CAP FUND,SMARTSHARES LIMITED,5,3,19.06,0.7,27.23
NZ CASH FUND,0.35,,12,0.96,0.7,1.37
NEW ZEALAND CASH FUND,0,,4,0.56,0.68,0.82
AMP NZ FIXED INTEREST FUND,0.73,,2,-5.27,0.67,-7.87
QUAYSTREET FIXED INTEREST FUND,0.64,,5,3.18,0.67,4.75
MERCER CONSERVATIVE FUND,0.5,,6,4.27,0.66,6.47
BNZ KIWISAVER CASH FUND,0.3,,4,0.57,0.66,0.86
SUMMER NEW ZEALAND CASH,0.5,,4,0.34,0.65,0.52
QUAYSTREET CONSERVATIVE FUND,0.7,,2,3.06,0.63,4.86
NZ CASH FUND,0.45,,4,0.65,0.62,1.05
OVERSEAS SHARES (CURRENCY HEDGED) FUND,SMARTSHARES LIMITED,6,3,28.88,0.61,47.34
NZ BOND ETF FUND,0.35,,5,3.29,0.61,5.39
MERCER CASH FUND,0.32,,18,1.39,0.6,2.32
CPP FUND NO. 1,0.64,,2,14.09,0.6,23.48
SUMMER GLOBAL FIXED INTEREST,0.36,,4,3.91,0.58,6.74
CASHPLUS,0.72,,2,-1.17,0.57,-2.05
S&P/NZX NZ GOVERNMENT BOND FUND,0.53,,3,-4.97,0.53,-9.38
CASH FUND,0.19,,12,0.68,0.52,1.31
CAPITAL GUARANTEED FUND,0.77,,7,1.89,0.5,3.78
CASH FUND,0.32,,14,1.01,0.47,2.15
NZ CASH ETF FUND,0.35,,5,1.97,0.46,4.28
BNZ KIWISAVER CASH FUND,0.30,,10,1.27,0.46,2.76
NZ CASH,AMP WEALTH MANAGEMENT NEW ZEALAND LIMITED,1,3,-0.38,0.45,-0.84
LIFECYCLE PROCESS - AGE 65,1.15,,2,3.73,0.45,8.29
NZ CASH FUND,0.46,,8,1.41,0.45,3.13
SUMMER NEW ZEALAND FIXED INTEREST,0.83,,4,3.12,0.45,6.93
CASH FUND,0.5,,4,0.75,0.44,1.7
ANZ CASH FUND,0.64,,5,0.66,0.44,1.5
NZ CORPORATE BOND FUND,0.8,,4,-3.29,0.4,-8.22
BNZ KIWISAVER FIRST HOME BUYER FUND,0.36,,2,3.42,0.4,8.55
INVESTNOW AMP CAPITAL NZ FIXED INTEREST FUND,0.56,,2,-4.51,0.35,-12.89
AUSTRALIAN DIVIDEND FUND,SMARTSHARES LIMITED,6,3,14.29,0.34,42.03
CASH FUND,0.27,,5,0.95,0.32,2.97
NZ BONDS FUND,0.35,,4,3.49,0.31,11.26
AUSTRALIAN RESOURCES FUND,SMARTSHARES LIMITED,6,3,10.95,0.3,36.5
AMP CASH FUND,0.51,,7,0.18,0.28,0.64
ENHANCED CASH FUND,0.82,,4,0.7,0.28,2.5
CASHPLUS,0.84,,2,2.41,0.28,8.61
NIKKO CASH FUND,0.66,,3,1.2,0.27,4.44
AUSTRALIAN SHARES FUND,SMARTSHARES LIMITED,6,3,29.12,0.25,116.48
NZ CASH FUND,0.44,,5,1.54,0.25,6.16
CASH,0.54,,4,1.16,0.25,4.64
CAPITAL GUARANTEED FUND,0.9,,4,0.21,0.24,0.88
CASH FUND,0.26,,4,0.9,0.24,3.75
SUMMER NEW ZEALAND CASH,0.72,,4,0.42,0.23,1.83
US MID CAP FUND,SMARTSHARES LIMITED,6,3,30.7,0.22,139.55
CASH,0.52,,3,0.54,0.22,2.45
CASH FUND,0.22,,8,0.89,0.22,4.05
S&P/NZX NZ GOVERNMENT BOND FUND,SMARTSHARES LIMITED,3,3,-5.18,0.21,-24.67
NZ CASH FUND,0.34,,11,1.47,0.21,7.0
SUPERLIFE HIGH GROWTH FUND,SMARTSHARES LIMITED,5,3,23.96,0.2,119.8
ASSET CLASS CONSERVATIVE FUND,1.06,,2,5.12,0.2,25.6
US SMALL CAP FUND,SMARTSHARES LIMITED,6,3,37.18,0.19,195.68
OVERSEAS SHARES FUND,SMARTSHARES LIMITED,5,3,24.33,0.18,135.17
SUPERLIFE AGE STEPS - AGE 20,SMARTSHARES LIMITED,5,3,22.88,0.18,127.11
DEFAULT,1.06,,2,3.34,0.18,18.56
AUSTRALIAN MID CAP FUND,SMARTSHARES LIMITED,6,3,27.37,0.17,161.0
NZ CASH FUND,0.51,,6,0.65,0.17,3.82
CASHPLUS,0.77,,3,2.57,0.17,15.12
NIKKO CASH FUND,0.65,,4,0.77,0.17,4.53
AMP CASH FUND,0.68,,3,1.51,0.16,9.44
AUSTRALIAN FINANCIALS FUND,SMARTSHARES LIMITED,6,3,48.07,0.15,320.47
OVERSEAS BONDS FUND,SMARTSHARES LIMITED,3,3,0.56,0.15,3.73
MERCER CASH FUND,MERCER (N.Z.) LIMITED,1,3,-0.05,0.15,-0.33
ANZ CASH FUND,0.65,,8,1.24,0.15,8.27
ENHANCED INCOME FUND,0.82,,3,1.3,0.14,9.29
CASH FUND,0.30,,8,1.48,0.14,10.57
SUPERLIFE AGE STEPS - AGE 30,SMARTSHARES LIMITED,5,3,18.65,0.13,143.46
SUPERLIFE AGE STEPS - AGE 40,SMARTSHARES LIMITED,5,3,18.65,0.13,143.46
GLOBAL AGGREGATE BOND FUND,SMARTSHARES LIMITED,3,3,-2.55,0.12,-21.25
SUMMER NEW ZEALAND CASH,0.90,,8,0.96,0.12,8.0
CASH,0.62,,3,1.82,0.12,15.17
CONSERVATIVE,1.09,,2,1.79,0.12,14.92
NZ DIVIDEND FUND,SMARTSHARES LIMITED,5,3,18.21,0.11,165.55
SUPERLIFE INCOME FUND,SMARTSHARES LIMITED,3,3,-0.84,0.11,-7.64
SUPERLIFE AGE STEPS - AGE 50,SMARTSHARES LIMITED,4,3,17.34,0.11,157.64
NIKKO CASH FUND,0.67,,6,1.51,0.11,13.73
ENHANCED INCOME FUND,0.69,,7,1.45,0.11,13.18
CASH FUND,0.33,,18,1.57,0.11,14.27
AMP CASH FUND,0.73,,3,1.04,0.11,9.45
NIKKO CASH FUND,0.39,,2,1.73,0.11,15.73
AUSTRALIAN TOP 20 FUND,SMARTSHARES LIMITED,6,3,25.85,0.1,258.5
NZ SHARES FUND,SMARTSHARES LIMITED,5,3,18.94,0.1,189.4
SUPERLIFE BALANCED FUND,SMARTSHARES LIMITED,4,3,13.91,0.1,139.1
US LARGE VALUE FUND,SMARTSHARES LIMITED,5,3,27.24,0.1,272.4
MERCER HIGH GROWTH FUND,MERCER (N.Z.) LIMITED,4,3,19.09,0.1,190.9
CONSERVATIVE FUND,0.5,,2,3.62,0.1,36.2
S&P/NZX 50 FUND,SMARTSHARES LIMITED,5,3,12.01,0.09,133.44
AUSTRALIAN PROPERTY FUND,SMARTSHARES LIMITED,6,3,24.37,0.09,270.78
NZ BONDS FUND,SMARTSHARES LIMITED,3,3,-2.5,0.09,-27.78
US 500 FUND,SMARTSHARES LIMITED,5,3,25.24,0.09,280.44
CASH FUND,0.48,,9,1.49,0.09,16.56
S&P/ASX 200 FUND,SMARTSHARES LIMITED,6,3,23.17,0.08,289.62
EMERGING MARKETS FUND,SMARTSHARES LIMITED,5,3,11.31,0.08,141.38
NZ TOP 50 FUND,SMARTSHARES LIMITED,5,3,19.46,0.08,243.25
SUPERLIFE AGE STEPS - AGE 80,SMARTSHARES LIMITED,3,3,1.69,0.08,21.12
MERCER GROWTH FUND,MERCER (N.Z.) LIMITED,4,3,15.8,0.08,197.5
INVESTNOW AMP CAPITAL NZ CASH FUND,0.25,,2,0.32,0.08,4.0
CASH FUND,0.29,,3,0.03,0.08,0.38
NZ TOP 10 FUND,SMARTSHARES LIMITED,5,3,7.26,0.07,103.71
OVERSEAS NON-GOVERNMENT BONDS FUND,SMARTSHARES LIMITED,3,3,0.28,0.07,4.0
SUPERLIFE AGE STEPS - AGE 60,SMARTSHARES LIMITED,4,3,12.99,0.07,185.57
CASH FUND,0.2,,3,0.4,0.07,5.71
CASHPLUS,0.79,,4,2.09,0.07,29.86
ANZ CASH FUND,0.38,,2,1.49,0.07,21.29
CASH,0.78,,2,2.04,0.07,29.14
LIFECYCLE - AGE 65,NEW ZEALAND FUNDS MANAGEMENT LIMITED,5,2,23.79,0.06,396.5
LIFECYCLE - AGE 75,NEW ZEALAND FUNDS MANAGEMENT LIMITED,4,2,20.38,0.06,339.67
NZ CASH FUND,SMARTSHARES LIMITED,1,3,0.52,0.06,8.67
SUPERLIFE CONSERVATIVE FUND,SMARTSHARES LIMITED,4,3,6.22,0.06,103.67
SUPERLIFE GROWTH FUND,SMARTSHARES LIMITED,5,3,18.82,0.06,313.67
UK CASH FUND,SMARTSHARES LIMITED,4,3,-0.11,0.06,-1.83
US LARGE GROWTH FUND,SMARTSHARES LIMITED,6,3,22.57,0.06,376.17
ENHANCED CASH FUND,0.79,,3,0.11,0.06,1.83
TOTAL WORLD (NZD HEDGED) FUND,SMARTSHARES LIMITED,5,3,27.23,0.05,544.6
ETHICA FUND,SMARTSHARES LIMITED,4,3,15.04,0.05,300.8
NZ PROPERTY FUND,SMARTSHARES LIMITED,5,3,9.4,0.05,188.0
GLOBAL PROPERTY FUND,SMARTSHARES LIMITED,5,3,23.29,0.05,465.8
SUPERLIFE AGE STEPS - AGE 70,SMARTSHARES LIMITED,4,3,8.73,0.05,174.6
MERCER SHARES FUND,MERCER (N.Z.) LIMITED,5,3,20.64,0.05,412.8
SELECT CASH,AMP WEALTH MANAGEMENT NEW ZEALAND LIMITED,1,2,-0.26,0.05,-5.2
MILFORD KIWISAVER CASH FUND,0.09,,3,0.3,0.05,6.0
LIFECYCLE - AGE 0-54,NEW ZEALAND FUNDS MANAGEMENT LIMITED,6,2,39.48,0.04,987.0
ASIA PACIFIC FUND,SMARTSHARES LIMITED,5,3,14.25,0.04,356.25
TOTAL WORLD FUND,SMARTSHARES LIMITED,5,3,22.92,0.04,573.0
ANZ CASH FUND,0.66,,3,0.0,0.04,0.0
BNZ KIWISAVER CASH FUND,0.25,,2,1.71,0.04,42.75
BNZ KIWISAVER CASH FUND,0.24,,2,1.94,0.04,48.5
MERCER CONSERVATIVE FUND,MERCER (N.Z.) LIMITED,3,3,2.99,0.03,99.67
CASH,0.65,,4,1.94,0.03,64.67
NZ CASH ETF FUND,0.48,,2,1.71,0.03,57.0
CASTLE POINT 5 OCEANS FUND,SMARTSHARES LIMITED,3,3,9.9,0.02,495.0
EUROPE FUND,SMARTSHARES LIMITED,5,3,21.35,0.02,1067.5
MERCER MODERATE FUND,MERCER (N.Z.) LIMITED,3,3,6.93,0.02,346.5
MERCER BALANCED FUND,MERCER (N.Z.) LIMITED,4,3,11.33,0.02,566.5
NIKKO CASH FUND,0.68,,3,0.03,0.02,1.5
AMP CASH FUND,0.72,,6,1.12,0.02,56.0
BALANCED GROWTH FUND,ANZ NEW ZEALAND INVESTMENTS LIMITED,4,3,14.61,0.01,1461.0
NEW ZEALAND CASH FUND,0.63,,2,0.16,0.01,16.0
CONSERVATIVE BALANCED FUND,0.78,,3,-9.8,0.01,-980.0
CONSERVATIVE FUND,ANZ NEW ZEALAND INVESTMENTS LIMITED,3,2,3.76,0.0,0
CONSERVATIVE BALANCED FUND,ANZ NEW ZEALAND INVESTMENTS LIMITED,3,2,7.44,0.0,0
BALANCED FUND,ANZ NEW ZEALAND INVESTMENTS LIMITED,4,2,10.91,0.0,0
GROWTH FUND,ANZ NEW ZEALAND INVESTMENTS LIMITED,5,2,18.66,0.0,0
SUPERLIFE DEFAULT FUND,0.19,,2,0.0,0.0,0
CONSERVATIVE FUND,0.67,,2,-8.16,0.0,0
CASH FUND,0.34,,2,1.74,0.0,0
