Provider,Funds,Total FUM ($),Total Members,Avg Fee %,Avg 1yr Return %,Data Period
1,24,10856905816,506973,1.162,-13.96,Latest: 2022-12-31
0.95,6,6625813474,250365,1.111,-9.47,Latest: 2022-12-31
0.7,2,4653432421,170450,0.7,-12.54,Latest: 2022-12-31
1.04,5,4380930541,71338,1.162,-7.4,Latest: 2022-12-31
0.9,6,4082866885,126981,0.922,-9.96,Latest: 2022-12-31
0.4,3,3762844955,217717,0.4,-8.51,Latest: 2022-12-31
0.79,8,3654765168,108623,0.903,-12.26,Latest: 2022-12-31
0.42,2,3565343869,199236,0.47,-6.97,Latest: 2022-12-31
0.78,3,2858258132,76339,0.852,-9.61,Latest: 2022-12-31
0.65,4,2760393855,87600,0.705,-3.53,Latest: 2022-12-31
0.3,5,2695760213,84977,0.332,-10.44,Latest: 2022-12-31
0.51,4,2666104560,121530,0.54,-12.43,Latest: 2022-12-31
0.57,7,2446831157,128533,0.591,-11.41,Latest: 2022-12-31
0.52,5,2425821723,119575,0.602,-6.94,Latest: 2022-12-31
0.6,6,2415917929,85975,0.635,-10.81,Latest: 2022-12-31
0.96,3,2330565437,77501,1.09,-10.05,Latest: 2022-12-31
0.67,3,1841195824,68249,0.765,-9.07,Latest: 2022-12-31
0.35,4,1722409255,154920,0.355,-8.43,Latest: 2022-12-31
0.86,4,1553759501,47555,0.93,-12.58,Latest: 2022-12-31
0.85,2,1136087778,77849,1.0,-10.69,Latest: 2022-12-31
0.97,4,1102708545,37005,1.093,-10.79,Latest: 2022-12-31
0.19,1,1085564295,48065,0.227,1.55,Latest: 2022-12-31
0.91,1,992036123,36922,1.24,-12.52,Latest: 2022-12-31
0.82,3,966554170,50743,0.947,-14.5,Latest: 2022-12-31
0.84,3,954101776,49329,0.93,-11.92,Latest: 2022-12-31
1.14,2,844771886,22300,1.245,-11.91,Latest: 2022-12-31
0.48,2,843380565,44494,0.55,-3.32,Latest: 2022-12-31
1.25,5,755929630,37646,1.274,-20.98,Latest: 2022-12-31
0.45,5,727947406,39588,0.462,-3.75,Latest: 2022-12-31
1.16,1,676316840,35822,1.19,-10.96,Latest: 2022-12-31
0.38,1,664639662,23470,0.405,-7.65,Latest: 2022-12-31
1.09,2,644590725,19115,1.365,-11.14,Latest: 2022-12-31
0.75,4,638718755,17742,0.877,-7.98,Latest: 2022-12-31
1.17,3,631033311,27102,1.31,-14.52,Latest: 2022-12-31
0.23,1,587896374,41398,0.27,1.62,Latest: 2022-12-31
1.2,3,570018922,29218,1.257,-14.74,Latest: 2022-12-31
0.68,2,550076406,13694,0.76,-8.59,Latest: 2022-12-31
1.1,4,521963649,22059,1.275,-15.34,Latest: 2022-12-31
0.63,4,519895719,25283,0.63,-9.91,Latest: 2022-12-31
0.37,2,500393745,62757,0.37,-12.21,Latest: 2022-12-31
0,3,488965860,22669,1.2,-3.88,Latest: 2022-12-31
1.06,3,446371676,23069,1.113,-15.01,Latest: 2022-12-31
0.59,21,421623747,25128,0.607,-8.01,Latest: 2022-12-31
0.62,3,421436272,17583,0.62,-16.42,Latest: 2022-12-31
0.32,1,411496666,14001,0.38,-7.23,Latest: 2022-12-31
0.2,1,390277999,45381,0.2,-10.99,Latest: 2022-12-31
0.49,3,385916589,23379,0.573,-2.28,Latest: 2022-12-31
0.29,1,371072802,44586,0.3,-13.2,Latest: 2022-12-31
0.58,8,368578037,27568,0.619,-12.81,Latest: 2022-12-31
0.8,7,335825271,20515,0.97,-10.06,Latest: 2022-12-31
0.83,1,292981392,14761,0.91,-8.3,Latest: 2022-12-31
1.47,1,285608485,11866,1.51,-20.05,Latest: 2022-12-31
0.47,2,283946617,20749,0.55,-8.63,Latest: 2022-12-31
0.34,1,219807204,15518,0.39,-5.87,Latest: 2022-12-31
0.93,3,215469855,5676,1.07,-10.51,Latest: 2022-12-31
0.77,1,203742494,6599,0.87,-12.46,Latest: 2022-12-31
0.56,3,188892656,16572,0.57,-6.11,Latest: 2022-12-31
1.05,4,173316885,20038,1.21,-11.85,Latest: 2022-12-31
0.92,2,138118032,3768,1.01,-9.63,Latest: 2022-12-31
0.5,5,122258057,4679,0.638,-1.99,Latest: 2022-12-31
1.19,1,116183474,4271,1.26,,Latest: 2022-12-31
0.14,1,114209197,1964,0.2,1.68,Latest: 2022-12-31
1.23,1,112599541,3290,1.27,-8.51,Latest: 2022-12-31
0.72,4,107601560,8419,0.853,-7.87,Latest: 2022-12-31
1.5,3,103023965,7999,1.5,-15.66,Latest: 2022-12-31
0.88,2,99914669,2999,1.09,-12.22,Latest: 2022-12-31
1.26,1,98088167,3163,1.26,-13.72,Latest: 2022-12-31
0.87,4,86600464,2362,0.985,-13.05,Latest: 2022-12-31
1.08,3,82758976,2893,1.26,-13.36,Latest: 2022-12-31
0.54,6,79152434,6987,0.552,-8.23,Latest: 2022-12-31
1.21,2,66603489,3689,1.265,-13.76,Latest: 2022-12-31
0.98,2,65445415,2515,1.09,-9.61,Latest: 2022-12-31
0.61,2,64458753,2923,0.61,-11.79,Latest: 2022-12-31
1.13,2,55568560,2004,1.245,-5.43,Latest: 2022-12-31
1.07,3,47364444,2484,1.173,-9.87,Latest: 2022-12-31
1.39,1,46157408,2374,2.71,0.41,Latest: 2022-12-31
0.28,2,37239687,1852,0.325,-5.37,Latest: 2022-12-31
1.46,2,32787765,1280,1.575,,Latest: 2022-12-31
0.94,2,31111414,1109,1.2,-11.69,Latest: 2022-12-31
0.73,2,30863600,3333,0.78,-14.72,Latest: 2022-12-31
0.99,2,27908725,843,1.175,-10.02,Latest: 2022-12-31
0.25,15,27417775,1432,0.252,1.63,Latest: 2022-12-31
1.15,2,27279795,771,1.21,-11.57,Latest: 2022-12-31
0.81,1,23968995,1016,0.97,-12.12,Latest: 2022-12-31
1.12,2,23140097,1289,1.21,-12.1,Latest: 2022-12-31
0.53,1,18456957,1638,0.63,-19.49,Latest: 2022-12-31
1.31,1,17816912,662,1.36,,Latest: 2022-12-31
0.71,2,17057466,593,0.765,-5.23,Latest: 2022-12-31
1.56,1,11457675,713,1.8,,Latest: 2022-12-31
1.42,1,8794338,299,1.73,-7.46,Latest: 2022-12-31
1.27,2,8430521,584,1.325,-21.44,Latest: 2022-12-31
0.89,2,7554839,256,1.42,-17.45,Latest: 2022-12-31
0.36,2,7308833,438,0.42,-7.46,Latest: 2022-12-31
0.27,1,3348327,222,0.5,1.43,Latest: 2022-12-31
0.64,1,2856303,63,0.64,-0.26,Latest: 2022-12-31
0.76,1,2671901,134,0.92,-7.96,Latest: 2022-12-31
1.44,1,2648358,268,1.47,-14.15,Latest: 2022-12-31
1.43,1,1344886,69,1.43,-4.6,Latest: 2022-12-31
1.03,1,1307484,18,1.34,-1.68,Latest: 2022-12-31
0.31,1,1066066,128,0.75,-7.68,Latest: 2022-12-31
0.66,1,786788,65,1.06,-10.41,Latest: 2022-12-31
1.38,1,473337,18,1.38,-14.99,Latest: 2022-12-31
1.02,1,437110,55,1.17,-12.15,Latest: 2022-12-31
0.15,1,389611,287,1.1,,Latest: 2022-12-31
1.29,1,69747,3,1.29,-12.09,Latest: 2022-12-31
